,galaxy_id,is_AGN,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,lum_25,lum_75
33,8131-12701,0.0,0.927844979589,0.927844979589,16.474035811,16.474035811,206.464400722,206.464400722,1.20280332895,-18.9794,-16.99095
34,8138-12701,0.0,0.380176881513,0.380176881513,12.8061182872,12.8061182872,200.068675171,200.068675171,1.17042330951,-20.04095,-18.01665
35,8081-12701,0.0,16.6242984818,16.6242984818,38.1721085335,38.1721085335,199.343830145,199.343830145,1.15695067265,-22.90855,-18.8246
36,8452-12701,0.0,0.550590525652,0.550590525652,21.8985217375,21.8985217375,188.216142312,188.216142312,1.1209039548,-19.27885,-17.26755
37,8132-12701,0.0,6.88460342135,6.88460342135,-15.2607679071,-15.2607679071,190.839101886,190.839101886,1.50925925926,-22.65925,-18.22415
38,8134-12701,0.0,0.35198643801,0.35198643801,10.7868210344,10.7868210344,221.949343444,221.949343444,1.14109647259,-18.75245,-16.8574
39,8137-12701,0.0,0.277963238742,0.277963238742,20.3756323147,20.3756323147,201.88829948,201.88829948,1.07204116638,-18.9505,-16.38315
40,8247-12701,0.0,0.799329292182,0.799329292182,-0.439639874083,-0.439639874083,221.144023644,221.144023644,1.15193133047,-18.04675,-16.18825
41,8140-12701,0.0,2.28722887336,2.28722887336,8.52753246859,8.52753246859,46.9366660412,46.9366660412,1.05882352941,-20.4665,-16.159
42,8626-12701,0.0,0.75520375031,0.75520375031,73.0309765758,73.0309765758,249.36536325,249.36536325,1.13043478261,-20.3922,-16.22085
43,8250-12701,0.0,0.657483098269,0.657483098269,-87.4924444734,-87.4924444734,416.665767214,416.665767214,1.43243243243,-22.2545,-18.06465
44,8612-12701,0.0,1.06420875804,1.06420875804,-6.26545348566,-6.26545348566,208.264342274,208.264342274,1.16,-18.47025,-16.05035
45,8616-12701,0.0,0.303062428768,0.303062428768,-23.967651708,-23.967651708,465.467252406,465.467252406,1.985,-23.1214,-19.1054
46,8141-12701,0.0,0.836714681807,0.836714681807,45.1137179166,45.1137179166,220.198332024,220.198332024,1.17115027829,-20.73505,-18.0122
47,8253-12701,0.0,0.949853466173,0.949853466173,-29.6582791883,-29.6582791883,194.467196439,194.467196439,1.17675159236,-19.6302,-16.1393
48,8263-12701,0.0,0.590293027597,0.590293027597,1.43220300248,1.43220300248,215.191801873,215.191801873,1.09940526763,-19.407,-16.4751
49,8254-12701,0.0,0.335141377085,0.335141377085,11.7404966924,11.7404966924,215.310592876,215.310592876,1.2245508982,-19.93105,-16.9711
50,8448-12701,0.0,1.76976165712,1.76976165712,-68.0438084297,-68.0438084297,113.098506678,113.098506678,1.32142857143,-22.21965,-17.96415
51,8548-12701,0.0,0.694870998037,0.694870998037,-64.2052019959,-64.2052019959,303.967810118,303.967810118,1.18762088975,-20.92775,-17.66155
52,8465-12701,0.0,0.450037567433,0.450037567433,17.2415795519,17.2415795519,220.891867584,220.891867584,1.12318286151,-20.27435,-18.26645
53,8325-12701,0.0,0.293788992615,0.293788992615,22.4915064354,22.4915064354,221.980278246,221.980278246,1.20576368876,-19.72885,-17.58645
54,8555-12701,0.0,1.84189781645,1.84189781645,-15.20326094,-15.20326094,184.481184788,184.481184788,1.51231527094,-24.14625,-19.81665
55,8485-12701,0.0,3.46250511154,3.46250511154,19.34918663,19.34918663,198.254463565,198.254463565,1.20278450363,-18.739,-17.21035
56,8551-12701,0.0,0.415481598363,0.415481598363,19.2316643508,19.2316643508,269.093072318,269.093072318,1.2330905307,-21.422,-18.65475
57,8484-12701,0.0,1.90211091949,1.90211091949,65.251176896,65.251176896,81.6451758539,81.6451758539,1.84306569343,-22.5977,-18.2629
58,8447-12701,0.0,0.716587504539,0.716587504539,13.7320787976,13.7320787976,217.819971114,217.819971114,1.20839469809,-20.63325,-18.3362
59,8486-12701,0.0,0.231973393198,0.231973393198,15.8548353592,15.8548353592,251.75353952,251.75353952,1.19627749577,-22.8181,-19.11155
60,8318-12701,0.0,7.599550166,7.599550166,-24.6639858493,-24.6639858493,320.755756314,320.755756314,1.26551724138,-22.97845,-18.6401
61,8466-12701,0.0,0.503658222909,0.503658222909,9.94599122593,9.94599122593,204.578796379,204.578796379,1.10544217687,-18.81065,-16.24395
62,8554-12701,0.0,0.567202821748,0.567202821748,40.9935863425,40.9935863425,303.868866001,303.868866001,1.34207240949,-22.18475,-19.3604
63,8464-12701,0.0,0.766411342825,0.766411342825,9.58788957471,9.58788957471,203.972432806,203.972432806,1.22880215343,-19.88795,-17.2899
64,8320-12701,0.0,0.532523632288,0.532523632288,-7.11988566636,-7.11988566636,212.865054684,212.865054684,1.23083700441,-19.22385,-17.14145
65,8312-12701,0.0,0.699846539435,0.699846539435,7.73796156408,7.73796156408,194.120024021,194.120024021,1.15183571873,-21.98855,-20.1242
66,8550-12701,0.0,0.420874584337,0.420874584337,-0.89163058857,-0.89163058857,242.529370795,242.529370795,1.15468940317,-22.01655,-17.8943
67,8335-12701,0.0,0.546554952707,0.546554952707,21.1240247399,21.1240247399,237.994718659,237.994718659,1.2052154195,-21.3321,-18.248
68,7957-12701,0.0,0.555625260825,0.555625260825,6.14761609345,6.14761609345,198.426975442,198.426975442,1.15796178344,-19.64585,-17.9568
69,8313-12701,0.0,0.884202284286,0.884202284286,-131.858011835,-131.858011835,221.939194929,221.939194929,1.14742698192,-20.99875,-18.6037
70,7962-12701,0.0,0.387430185264,0.387430185264,15.0303562931,15.0303562931,222.99790898,222.99790898,1.15083798883,-19.47375,-17.34255
71,8330-12701,0.0,0.973522828731,0.973522828731,29.3492603323,29.3492603323,207.30902297,207.30902297,1.21425109064,-20.7567,-18.3632
72,8315-12701,0.0,3.74981039604,3.74981039604,-36.6271108594,-36.6271108594,195.934124453,195.934124453,1.28571428571,-21.6753,-17.83735
73,8604-12701,0.0,0.418701583916,0.418701583916,15.5176375834,15.5176375834,238.24620334,238.24620334,1.13405088063,-22.47055,-18.84905
74,8332-12701,0.0,0.606840115055,0.606840115055,6.46806729131,6.46806729131,194.118757818,194.118757818,1.1222826087,-20.0262,-18.16855
75,7992-12701,0.0,0.659883278859,0.659883278859,30.7552459998,30.7552459998,212.711776974,212.711776974,1.15367483296,-22.3286,-17.88905
76,8603-12701,0.0,0.485847284552,0.485847284552,6.78560326169,6.78560326169,673.078826105,673.078826105,1.99115044248,-22.785,-18.7303
77,7960-12701,0.0,0.642668284602,0.642668284602,16.6833708965,16.6833708965,218.489303629,218.489303629,1.12376873662,-21.3824,-18.85985
78,8655-12701,0.0,0.424904785865,0.424904785865,0.858790497329,0.858790497329,201.761552848,201.761552848,1.09635722679,-19.07585,-16.87225
79,8623-12701,0.0,0.505354008446,0.505354008446,-14.629640302,-14.629640302,230.752377749,230.752377749,1.24382207578,-18.7449,-16.68635
80,8156-12701,0.0,2.60706203745,2.60706203745,-84.0685671677,-84.0685671677,267.605677076,267.605677076,1.12051282051,-22.62605,-19.4739
81,8567-12701,0.0,0.420574881707,0.420574881707,10.2027376969,10.2027376969,213.041282213,213.041282213,1.09984871407,-20.45385,-17.93205
82,8077-12701,0.0,0.602828101603,0.602828101603,16.1013306304,16.1013306304,174.208395284,174.208395284,1.13321332133,-19.52115,-17.49135
83,8086-12701,0.0,0.983525031241,0.983525031241,-26.5743823475,-26.5743823475,219.606376282,219.606376282,1.17605633803,-19.20485,-16.6635
84,8566-12701,0.0,1.08444275522,1.08444275522,1.73056447997,1.73056447997,194.241594406,194.241594406,1.61904761905,-22.35505,-17.94455
85,8155-12701,0.0,0.314804703501,0.314804703501,53.6983077998,53.6983077998,193.506605651,193.506605651,1.17374517375,-21.0492,-18.30505
86,8147-12701,0.0,0.494007863969,0.494007863969,4.37739846988,4.37739846988,200.90297802,200.90297802,1.1210877373,-18.93095,-16.78815
87,8146-12701,0.0,0.156449286239,0.156449286239,3.36444452481,3.36444452481,207.136684757,207.136684757,1.11637931034,-20.69905,-17.97475
