,galaxy_id,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,is_AGN
0,7443-12701,0.813901004307,0.106106174159,52.7156550029,25.1597444592,412.140575089,86.2619808326,1.4380952381,0.0
1,7495-12701,0.498458330156,0.122136066097,226.437699735,124.60063903,402.256389785,212.360223647,1.36016949153,0.0
2,7815-12701,0.628854979474,0.172726754082,47.9233227344,-26.3578274269,210.862619813,184.504792336,1.17457627119,0.0
3,8341-12701,0.981850688165,0.219519058447,116.21405756,-44.6285942005,207.268370612,188.099041538,1.26607142857,0.0
4,8329-12701,0.268010241943,0.151553275601,107.228434557,-62.899360974,265.9744409,190.495207672,1.10795180723,0.0
5,8319-12701,0.141499734549,0.0304547993057,180.910543185,33.8458466958,119.808306712,29.0535143776,1.30188679245,0.0
6,8243-12701,0.353927907271,0.186430566762,128.194888231,-71.8849839774,258.785942498,189.297124605,1.16397415186,0.0
7,8439-12701,0.350215331939,0.139939851802,68.2907348755,-13.1789136886,221.645367417,185.702875403,1.1718061674,0.0
8,8602-12701,0.468265717294,0.12487597939,74.2811502111,-35.6429711971,359.424920136,176.118210866,1.19976905312,0.0
9,8615-12701,0.316893455052,0.139183959525,77.2763578789,-76.6773162459,237.22044729,165.335463262,1.1857000993,0.0
10,7991-12701,2.08299529887,0.395588831438,-28.7539935612,-214.456868965,226.437699685,200.079872209,1.27310231023,0.0
11,7977-12701,0.719218343892,0.122308514589,-55.1118210378,-382.188498361,491.214057519,194.089456873,1.55177407676,0.0
12,7975-12701,0.136655205985,0.0164846672791,29.6525559609,-110.223642125,215.654952081,27.5559105437,1.36086956522,0.0
13,7990-12701,0.176528632766,0.0983907993128,33.546325929,-3.59424915167,222.843450484,137.779552719,1.17094017094,0.0
14,8459-12701,0.0978601073225,0.0334815888825,140.175718903,-36.5415334974,137.180511185,37.1405750807,1.33898305085,0.0
15,8483-12701,1.12834136745,0.206552913098,57.5079872714,-57.507987172,220.44728435,191.693290739,1.19329896907,0.0
16,8317-12701,0.906359127867,0.0627437586253,75.4792332782,-37.140575031,806.309904171,55.1118210875,1.53691275168,0.0
17,8261-12701,0.599277129925,0.0842920007927,81.4696486138,-159.345047877,597.244408959,88.6581469668,1.26808510638,0.0
18,8451-12701,2.72927958069,0.29997534422,56.6094249711,-173.722044683,608.626198096,291.13418531,1.90773809524,0.0
19,8482-12701,0.643609580151,0.136971214081,60.5031949392,-3.59424915167,386.980830679,149.76038339,1.15511551155,0.0
20,8082-12701,0.331494772794,0.179107529801,87.4600639494,-74.2811501117,221.645367417,182.108626202,1.17788802268,0.0
21,8143-12701,0.627425887622,0.0325732800137,42.8314696992,-24.5607028262,1289.43690099,57.5079872217,1.62222222222,0.0
22,8256-12701,0.692132214391,0.117266884895,94.6485623521,-24.2611820595,227.635782753,183.306709269,1.30357142857,0.0
23,8249-12701,1.03161778821,0.169062607775,117.412140627,-43.1309903666,219.249201283,192.891373806,1.19808306709,0.0
24,8274-12701,0.600857054339,0.119267205062,92.2523962178,-18.5702874907,230.930511187,174.021565499,1.18161434978,0.0
25,8258-12701,0.324732366956,0.146665722255,28.7539936605,-62.3003194405,226.437699685,182.108626202,1.17976470588,0.0
26,8252-12701,1.46019935441,0.182819903044,16.7731629894,2.39616618393,201.277955276,183.306709269,1.16666666667,0.0
27,8259-12701,1.10870582892,0.301513435732,55.1118211372,-39.5367411652,204.872204477,188.099041538,1.12406271302,0.0
28,8244-12701,0.132923924652,0.0108260283393,89.8562300836,-104.23322679,138.977635786,19.1693290739,1.85308953342,0.0
29,8257-12701,3.50630886134,0.377815807651,73.0830671439,-10.7827475544,264.776357833,213.258785947,1.39217134417,0.0
30,8440-12701,0.243042309798,0.11525109275,59.9041534056,-74.2811501117,250.399361028,176.118210866,1.13371266003,0.0
31,8453-12701,0.156181887324,0.0842286671031,94.6485623521,-13.1789136886,221.645367417,118.610223645,1.1344,0.0
