Unnamed: 0,galaxy_id,is_AGN,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,lum_25,lum_75
101,8255-12701,0.0,0.343583958953,0.164830925281,62.8993610734,-51.5175718364,240.814696491,178.514377001,1.16058394161,-19.65565,-16.4294
102,8449-12701,0.0,0.379721454885,0.155720570186,25.1597444592,-22.7635782256,221.645367417,179.412939301,1.185,-17.8579,-16.1603
103,8338-12701,0.0,1.71319619486,0.329367825877,39.5367412646,-28.7539935612,208.466453679,191.693290739,1.20218206614,-20.0114,-18.19325
104,8450-12701,0.0,0.212145712645,0.109043532638,52.7156550029,-62.3003194405,219.249201283,143.769968054,1.19325551232,-19.54495,-17.305
105,8454-12701,0.0,1.62062410242,0.303540390015,65.8945687412,-21.2659743917,215.654952081,196.485623007,1.32722513089,-19.9614,-18.3197
106,8716-12701,0.0,0.228694116992,0.116437749506,9.58466458664,-27.555910494,227.635782753,159.345047927,1.16379310345,-16.95785,-14.74775
107,8717-12701,0.0,0.305847424913,0.14353346938,70.6869010097,-57.2084664052,218.949680516,164.137380195,1.16806722689,-19.79035,-16.69855
108,8239-12701,0.0,0.301849342109,0.106519888906,117.112619861,-28.1549520276,383.087060711,92.2523961681,1.8,-22.7326,-18.03115
109,8724-12701,0.0,0.219054033368,0.115454742803,63.498402607,-86.2619807829,227.635782753,162.939297128,1.19786729858,-20.80275,-17.93685
110,8714-12701,0.0,0.233009259581,0.0656323662378,-12.5798721551,-45.5271565008,427.416134195,98.8418530373,1.66666666667,-22.75315,-18.60905
111,8241-12701,0.0,0.316559229421,0.150703536792,46.7252396673,-26.3578274269,227.935303519,178.514377001,1.19577205882,-18.7326,-16.64775
112,8712-12701,0.0,0.247985812788,0.133399888453,113.817891426,-87.46006385,225.239616618,166.53354633,1.32561851556,-20.70535,-17.7838
113,8720-12701,0.0,0.443685046215,0.0850630235538,100.339456921,-255.191693247,868.909744428,188.398562304,1.93274853801,-22.8682,-18.95605
114,8591-12701,0.0,0.479424256624,0.129119619605,39.5367412646,-3.59424915167,220.44728435,179.712460068,1.18784029038,-19.1859,-17.3384
115,8592-12701,0.0,1.74293503172,0.18723524667,55.1118211372,-40.7348242324,212.06070288,186.900958471,1.12071005917,-18.86325,-17.29115
116,8949-12701,0.0,0.255306907068,0.0690543456238,61.1022364727,9.58466458664,216.853035149,58.7060702888,1.12903225806,-18.8171,-15.9072
117,8952-12701,0.0,0.311224644917,0.115394922122,141.37380197,-49.1214057022,307.308306716,168.031150163,1.17202572347,-20.78715,-17.1191
118,8600-12701,0.0,0.255646201877,0.113584850418,73.0830671439,8.38658151952,236.022364222,164.137380195,1.2013552759,-20.6218,-17.78445
119,8934-12701,0.0,0.586130687569,0.208265775637,121.006389829,-65.8945686418,234.824281155,189.297124605,1.20989884393,-21.24655,-18.9043
120,8333-12701,0.0,0.379931749929,0.0407888146272,143.769968104,-31.4496804622,551.118210875,41.9329073492,1.51458333333,-22.7933,-18.7218
121,8979-12701,0.0,0.759657582171,0.192304342175,160.543131044,-75.4792331788,227.635782753,189.297124605,1.24668325041,-22.2308,-19.38335
122,8595-12701,0.0,0.0766641756867,0.0339226442033,30.2515974944,-96.1461660866,112.919329076,34.4448881797,1.30357142857,-22.13535,-18.1244
123,8987-12701,0.0,0.0941324809653,0.0405947714422,55.4113419039,-123.70207663,162.639776361,26.0583067098,1.6170212766,-23.1073,-19.2338
124,8942-12701,0.0,0.433141757576,0.0760736616126,106.03035149,-76.0782747124,400.159744418,100.638977638,1.14935064935,-21.9667,-17.7757
125,8948-12701,0.0,0.997365755634,0.322364930236,89.8562300836,-34.7444088968,214.456869014,189.297124605,1.16144200627,-19.80885,-17.51095
126,8939-12701,0.0,0.301586242178,0.073376373358,118.610223694,-150.359424874,254.592651763,38.3386581478,1.47908121411,-22.89385,-19.0541
127,8946-12701,0.0,0.15631521522,0.0585595048415,-13.1789136886,-112.619808259,108.426517574,35.34345048,1.17142857143,-21.9348,-17.00055
128,8945-12701,0.0,1.6750682489,0.479107432959,43.130990466,-9.58466448726,204.872204477,190.495207672,1.14087301587,-20.4301,-18.78815
129,8980-12701,0.0,0.366701747955,0.136892410217,59.9041534056,-14.3769967557,206.070287544,165.335463262,1.13189600507,-19.339,-17.334
130,8597-12701,0.0,0.207984421092,0.119482598921,69.4888179426,-65.8945686418,219.249201283,162.939297128,1.20637119114,-20.91935,-18.33275
131,8931-12701,0.0,0.358137133324,0.146655205762,62.3003195399,-58.7060702391,218.051118216,169.528753997,1.12603437301,-20.18855,-18.16675
132,9029-12701,0.0,0.265058013488,0.113155681502,61.7012780063,-53.9137379707,322.284345055,150.65894569,1.17613636364,-20.9103,-17.06175
133,9042-12701,0.0,0.459678669211,0.139073487496,135.383386634,-64.6964855747,267.172523967,180.910543135,1.20991735537,-19.7497,-16.976
134,9026-12701,0.0,0.944462315042,0.311796806289,189.297124654,-121.006389729,499.301118222,239.01757189,1.28187919463,-21.75125,-17.25265
135,9002-12701,0.0,0.266558420353,0.0607718811639,109.025559157,5.99041538528,269.568690102,89.8562300339,1.26592797784,-21.2833,-17.16795
136,8613-12701,0.0,0.545542552166,0.230720279883,81.4696486138,-86.2619807829,244.408945692,186.900958471,1.18377693283,-20.2131,-17.296
137,9041-12701,0.0,0.696450743961,0.346053900534,68.2907348755,-16.77316289,256.389776363,206.070287544,1.15754779169,-22.25755,-19.86535
138,8553-12701,0.0,0.274350164749,0.0887191181222,71.2859425433,-65.8945686418,208.466453679,141.972843454,1.1017369727,-18.88225,-16.0516
139,7443-12702,0.0,0.224416119011,0.112282931782,75.4792332782,1.19808311681,220.44728435,160.543130994,1.1773962804,-20.8613,-18.0998
140,7495-12702,0.0,0.437006890671,0.194414460067,83.865814748,-49.420926469,224.041533551,182.108626202,1.10412667946,-20.5381,-17.3772
141,7815-12702,0.0,0.432395462869,0.138825613193,56.6094249711,-68.2907347761,213.258785947,177.316293934,1.18907563025,-18.88025,-16.97725
142,8341-12702,0.0,0.449814569937,0.129888072055,75.4792332782,-67.092651709,536.142172536,229.432907353,1.21797323136,-22.7352,-18.47735
143,8329-12702,0.0,0.464429564161,0.154347535217,16.7731629894,-26.3578274269,215.654952081,178.514377001,1.16099249856,-17.4717,-15.82095
144,8243-12702,0.0,0.312268922682,0.106686817141,16.7731629894,-17.9712459571,214.456869014,159.345047927,1.1234939759,-18.37885,-16.141
145,8439-12702,0.0,0.198362342089,0.0940790611103,129.392971299,-74.8801916452,271.964856236,165.335463262,1.22792607803,-21.5491,-17.1311
146,8326-12702,0.0,0.331659133556,0.151088036008,65.8945687412,-23.9616612927,221.645367417,179.712460068,1.19608778626,-19.6363,-17.4617
147,8602-12702,0.0,0.307335996265,0.113590606231,39.5367412646,-20.3674120913,305.511182115,158.14696486,1.18791946309,-21.04675,-16.9616
148,8588-12702,0.0,0.760401524074,0.31294602873,39.5367412646,-21.5654951585,230.031948887,202.476038343,1.12745786517,-20.2152,-18.46615
149,8615-12702,0.0,1.05567905479,0.327996502948,33.546325929,-41.9329072995,222.843450484,195.28753994,1.15225643189,-20.11475,-18.055
150,7991-12702,0.0,0.763488776659,0.0752138045057,95.8466454192,15.5750799222,632.587859439,149.76038339,1.64102564103,-22.498,-17.6591
151,7977-12702,0.0,0.332833429788,0.035936224125,97.3442492531,-22.4640574588,580.770766786,52.4161341864,1.93181818182,-22.3073,-17.85115
152,7990-12702,0.0,0.150898660657,0.0757039212228,94.6485623521,-78.7739616134,238.418530357,99.4408945709,1.20796460177,-20.3015,-16.07865
153,8459-12702,0.0,0.739701373628,0.146364110155,44.3290735331,-5.99041528591,213.258785947,186.900958471,1.17576509512,-18.0371,-16.29475
154,8483-12702,0.0,0.273906017219,0.0999499353022,32.3482428619,-0.299520717092,245.007987226,188.398562304,1.09523809524,-18.3796,-15.88005
155,8618-12702,0.0,0.0711585608742,0.0266668138004,46.1261981338,-127.895367365,135.083865818,32.0487220454,1.32142857143,-18.4165,-15.78415
156,8317-12702,0.0,0.340716003219,0.0575525369492,41.3338658653,-57.8075079388,408.546325888,82.6677316312,1.3,-21.87455,-17.5935
157,8261-12702,0.0,0.305091537389,0.0481720290415,322.284345105,-16.77316289,256.090255597,45.5271565505,1.89608574091,-22.1535,-18.2295
158,8451-12702,0.0,0.595391771078,0.129712371844,169.22923328,28.7539936605,480.730830681,149.76038339,1.19836956522,-22.0769,-17.6142
159,8482-12702,0.0,0.386722264995,0.0589651345912,25.1597444592,-74.2811501117,355.830670934,69.4888178929,1.31683168317,-22.13685,-17.85755
160,8082-12702,0.0,0.389259470521,0.175062267674,206.669329128,-65.8945686418,343.849840263,209.664536746,1.27516778523,-22.33865,-18.8255
161,8143-12702,0.0,0.190149739409,0.103066419316,93.1509585182,-68.2907347761,233.626198088,166.833067096,1.23731343284,-20.0153,-17.129
162,8256-12702,0.0,1.22351031476,0.160710683681,62.3003195399,-9.58466448726,206.070287544,189.297124605,1.15477386935,-17.88965,-15.86485
163,8249-12702,0.0,0.21745114191,0.0810288456445,71.8849840768,-42.2324280662,234.824281155,152.156549524,1.2375,-18.14205,-15.2576
164,8274-12702,0.0,1.01936938182,0.129646548311,64.6964856741,-2.39616608455,200.079872209,179.712460068,1.21565217391,-17.88965,-15.86485
165,8258-12702,0.0,0.605900832453,0.155243354649,85.0638978151,-41.9329072995,207.268370612,182.108626202,1.13014119091,-18.5146,-16.27035
