,galaxy_id,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss,is_AGN
0,10001-6102,1.36778531808,1.36778531808,2.25651912892,2.25651912892,306.117427664,306.117427664,1.20721554117,1.0
1,7495-12705,0.681917106203,0.681917106203,22.514377047,22.514377047,224.249201283,224.249201283,1.28533333333,1.0
2,7815-3701,2.48247946061,2.48247946061,-28.9926361233,-28.9926361233,231.059572981,231.059572981,1.60569105691,1.0
3,7815-6104,10.8566194899,10.8566194899,8.58338004395,8.58338004395,397.864859532,397.864859532,1.50790378007,1.0
4,7960-3702,0.376058553828,0.376058553828,15.795333577,15.795333577,206.818181823,206.818181823,1.14343434343,1.0
5,7975-12702,1.40496509485,1.40496509485,-21.7532544451,-21.7532544451,233.210445382,233.210445382,1.23507462687,1.0
6,7991-3702,1.47294669328,1.47294669328,-12.5564459498,-12.5564459498,283.938993706,283.938993706,1.44134078212,1.0
7,7992-9102,2.17211160947,2.17211160947,-68.66061277,-68.66061277,651.700902731,651.700902731,1.98657718121,1.0
8,8077-12703,1.68744800933,1.68744800933,-21.9383679497,-21.9383679497,235.17881594,235.17881594,1.34183673469,1.0
9,8077-6103,0.792038919862,0.792038919862,12.1488321336,12.1488321336,234.349707822,234.349707822,1.14124872057,1.0
10,8078-12703,0.386307276578,0.386307276578,8.39548336049,8.39548336049,197.031777133,197.031777133,1.17744755245,1.0
11,8083-6102,0.465789434355,0.465789434355,63.9398016317,63.9398016317,303.374887268,303.374887268,1.19138755981,1.0
12,8086-9102,0.217742395603,0.217742395603,21.4145173103,21.4145173103,223.470090137,223.470090137,1.17344173442,1.0
13,8132-12704,0.581248498669,0.581248498669,11.5743382517,11.5743382517,258.669801792,258.669801792,1.16071428571,1.0
14,8132-6101,0.97624434505,0.97624434505,61.3598447773,61.3598447773,454.147084811,454.147084811,1.99658703072,1.0
15,8137-3702,2.01456695608,2.01456695608,88.3051589378,88.3051589378,387.786474059,387.786474059,2.0,1.0
16,8141-1901,5.04637614962,5.04637614962,27.7926286188,27.7926286188,368.130346293,368.130346293,1.43346774194,1.0
17,8143-12704,0.382120365134,0.382120365134,52.6517353865,52.6517353865,263.284900116,263.284900116,1.17236662107,1.0
18,8143-6101,1.92115277053,1.92115277053,-76.39355973,-76.39355973,359.861815089,359.861815089,1.91541353383,1.0
19,8155-3702,0.371148084449,0.371148084449,13.8832414093,13.8832414093,294.886363643,294.886363643,1.24242424242,1.0
20,8241-6102,5.9747287253,5.9747287253,14.2462201823,14.2462201823,268.697548717,268.697548717,1.35974178404,1.0
21,8241-9102,0.928767617368,0.928767617368,12.7795527656,12.7795527656,340.499037164,340.499037164,1.23059360731,1.0
22,8249-3704,1.2661666627,1.2661666627,3.63962044412,3.63962044412,393.778002542,393.778002542,1.25798816568,1.0
23,8252-1902,0.980132094917,0.980132094917,5.28179308339,5.28179308339,250.669660256,250.669660256,1.34756097561,1.0
24,8253-12703,0.237536991318,0.237536991318,30.6360985718,30.6360985718,240.439947252,240.439947252,1.14069767442,1.0
25,8255-12703,0.158976234326,0.158976234326,-3.17998659861,-3.17998659861,246.557746417,246.557746417,1.16666666667,1.0
26,8259-6102,0.461407453421,0.461407453421,33.1908116658,33.1908116658,185.162493723,185.162493723,1.3175074184,1.0
27,8313-9102,0.347503981458,0.347503981458,19.6256400244,19.6256400244,249.162124919,249.162124919,1.15567439097,1.0
28,8315-3701,0.244577301354,0.244577301354,9.11398909598,9.11398909598,245.440628333,245.440628333,1.18452380952,1.0
