,galaxy_id,is_AGN,flux_75,flux_25,vmed_75,vmed_25,W80_75,W80_25,mean_gauss
22,8256-12701,0.0,0.684325290313,0.684325290313,36.1839424773,36.1839424773,214.365178984,214.365178984,1.30357142857
23,8249-12701,0.0,0.902900013081,0.902900013081,35.7798130525,35.7798130525,213.270269171,213.270269171,1.19808306709
24,8274-12701,0.0,1.1102398235,1.1102398235,33.1165203444,33.1165203444,198.164551072,198.164551072,1.18161434978
25,8258-12701,0.0,0.376977363775,0.376977363775,-13.4450290805,-13.4450290805,213.921255408,213.921255408,1.17976470588
26,8252-12701,0.0,1.64518682712,1.64518682712,9.87899135168,9.87899135168,189.843071898,189.843071898,1.16666666667
27,8259-12701,0.0,1.32202148622,1.32202148622,5.4334333459,5.4334333459,196.774730987,196.774730987,1.12406271302
28,8244-12701,0.0,2.3371959449,2.3371959449,-2.41580679057,-2.41580679057,142.110328396,142.110328396,1.85308953342
29,8257-12701,0.0,3.62337115366,3.62337115366,30.7263180007,30.7263180007,257.856410546,257.856410546,1.39217134417
30,8440-12701,0.0,0.37841460223,0.37841460223,-10.5878957327,-10.5878957327,244.97929913,244.97929913,1.13371266003
31,8453-12701,0.0,1.04261459916,1.04261459916,39.7840256097,39.7840256097,184.11182109,184.11182109,1.1344
32,8611-12701,0.0,0.706830971668,0.706830971668,23.3648068671,23.3648068671,203.111066109,203.111066109,1.09990043146
33,8131-12701,0.0,0.927844979589,0.927844979589,16.474035811,16.474035811,206.464400722,206.464400722,1.20280332895
34,8138-12701,0.0,0.380176881513,0.380176881513,12.8061182872,12.8061182872,200.068675171,200.068675171,1.17042330951
35,8081-12701,0.0,16.6242984818,16.6242984818,38.1721085335,38.1721085335,199.343830145,199.343830145,1.15695067265
36,8452-12701,0.0,0.550590525652,0.550590525652,21.8985217375,21.8985217375,188.216142312,188.216142312,1.1209039548
37,8132-12701,0.0,6.88460342135,6.88460342135,-15.2607679071,-15.2607679071,190.839101886,190.839101886,1.50925925926
38,8134-12701,0.0,0.35198643801,0.35198643801,10.7868210344,10.7868210344,221.949343444,221.949343444,1.14109647259
39,8137-12701,0.0,0.277963238742,0.277963238742,20.3756323147,20.3756323147,201.88829948,201.88829948,1.07204116638
40,8247-12701,0.0,0.799329292182,0.799329292182,-0.439639874083,-0.439639874083,221.144023644,221.144023644,1.15193133047
41,8140-12701,0.0,2.28722887336,2.28722887336,8.52753246859,8.52753246859,46.9366660412,46.9366660412,1.05882352941
42,8626-12701,0.0,0.75520375031,0.75520375031,73.0309765758,73.0309765758,249.36536325,249.36536325,1.13043478261
43,8250-12701,0.0,0.657483098269,0.657483098269,-87.4924444734,-87.4924444734,416.665767214,416.665767214,1.43243243243
44,8612-12701,0.0,1.06420875804,1.06420875804,-6.26545348566,-6.26545348566,208.264342274,208.264342274,1.16
45,8616-12701,0.0,0.303062428768,0.303062428768,-23.967651708,-23.967651708,465.467252406,465.467252406,1.985
46,8141-12701,0.0,0.836714681807,0.836714681807,45.1137179166,45.1137179166,220.198332024,220.198332024,1.17115027829
47,8253-12701,0.0,0.949853466173,0.949853466173,-29.6582791883,-29.6582791883,194.467196439,194.467196439,1.17675159236
48,8263-12701,0.0,0.590293027597,0.590293027597,1.43220300248,1.43220300248,215.191801873,215.191801873,1.09940526763
49,8254-12701,0.0,0.335141377085,0.335141377085,11.7404966924,11.7404966924,215.310592876,215.310592876,1.2245508982
50,8448-12701,0.0,1.76976165712,1.76976165712,-68.0438084297,-68.0438084297,113.098506678,113.098506678,1.32142857143
51,8548-12701,0.0,0.694870998037,0.694870998037,-64.2052019959,-64.2052019959,303.967810118,303.967810118,1.18762088975
52,8465-12701,0.0,0.450037567433,0.450037567433,17.2415795519,17.2415795519,220.891867584,220.891867584,1.12318286151
53,8325-12701,0.0,0.293788992615,0.293788992615,22.4915064354,22.4915064354,221.980278246,221.980278246,1.20576368876
54,8555-12701,0.0,1.84189781645,1.84189781645,-15.20326094,-15.20326094,184.481184788,184.481184788,1.51231527094
55,8485-12701,0.0,3.46250511154,3.46250511154,19.34918663,19.34918663,198.254463565,198.254463565,1.20278450363
56,8551-12701,0.0,0.415481598363,0.415481598363,19.2316643508,19.2316643508,269.093072318,269.093072318,1.2330905307
57,8484-12701,0.0,1.90211091949,1.90211091949,65.251176896,65.251176896,81.6451758539,81.6451758539,1.84306569343
58,8447-12701,0.0,0.716587504539,0.716587504539,13.7320787976,13.7320787976,217.819971114,217.819971114,1.20839469809
59,8486-12701,0.0,0.231973393198,0.231973393198,15.8548353592,15.8548353592,251.75353952,251.75353952,1.19627749577
60,8318-12701,0.0,7.599550166,7.599550166,-24.6639858493,-24.6639858493,320.755756314,320.755756314,1.26551724138
61,8466-12701,0.0,0.503658222909,0.503658222909,9.94599122593,9.94599122593,204.578796379,204.578796379,1.10544217687
62,8554-12701,0.0,0.567202821748,0.567202821748,40.9935863425,40.9935863425,303.868866001,303.868866001,1.34207240949
63,8464-12701,0.0,0.766411342825,0.766411342825,9.58788957471,9.58788957471,203.972432806,203.972432806,1.22880215343
64,8320-12701,0.0,0.532523632288,0.532523632288,-7.11988566636,-7.11988566636,212.865054684,212.865054684,1.23083700441
65,8312-12701,0.0,0.699846539435,0.699846539435,7.73796156408,7.73796156408,194.120024021,194.120024021,1.15183571873
66,8550-12701,0.0,0.420874584337,0.420874584337,-0.89163058857,-0.89163058857,242.529370795,242.529370795,1.15468940317
67,8335-12701,0.0,0.546554952707,0.546554952707,21.1240247399,21.1240247399,237.994718659,237.994718659,1.2052154195
68,7957-12701,0.0,0.555625260825,0.555625260825,6.14761609345,6.14761609345,198.426975442,198.426975442,1.15796178344
69,8313-12701,0.0,0.884202284286,0.884202284286,-131.858011835,-131.858011835,221.939194929,221.939194929,1.14742698192
70,7962-12701,0.0,0.387430185264,0.387430185264,15.0303562931,15.0303562931,222.99790898,222.99790898,1.15083798883
71,8330-12701,0.0,0.973522828731,0.973522828731,29.3492603323,29.3492603323,207.30902297,207.30902297,1.21425109064
72,8315-12701,0.0,3.74981039604,3.74981039604,-36.6271108594,-36.6271108594,195.934124453,195.934124453,1.28571428571
73,8604-12701,0.0,0.418701583916,0.418701583916,15.5176375834,15.5176375834,238.24620334,238.24620334,1.13405088063
74,8332-12701,0.0,0.606840115055,0.606840115055,6.46806729131,6.46806729131,194.118757818,194.118757818,1.1222826087
75,7992-12701,0.0,0.659883278859,0.659883278859,30.7552459998,30.7552459998,212.711776974,212.711776974,1.15367483296
76,8603-12701,0.0,0.485847284552,0.485847284552,6.78560326169,6.78560326169,673.078826105,673.078826105,1.99115044248
77,7960-12701,0.0,0.642668284602,0.642668284602,16.6833708965,16.6833708965,218.489303629,218.489303629,1.12376873662
78,8655-12701,0.0,0.424904785865,0.424904785865,0.858790497329,0.858790497329,201.761552848,201.761552848,1.09635722679
79,8623-12701,0.0,0.505354008446,0.505354008446,-14.629640302,-14.629640302,230.752377749,230.752377749,1.24382207578
80,8156-12701,0.0,2.60706203745,2.60706203745,-84.0685671677,-84.0685671677,267.605677076,267.605677076,1.12051282051
81,8567-12701,0.0,0.420574881707,0.420574881707,10.2027376969,10.2027376969,213.041282213,213.041282213,1.09984871407
82,8077-12701,0.0,0.602828101603,0.602828101603,16.1013306304,16.1013306304,174.208395284,174.208395284,1.13321332133
83,8086-12701,0.0,0.983525031241,0.983525031241,-26.5743823475,-26.5743823475,219.606376282,219.606376282,1.17605633803
84,8566-12701,0.0,1.08444275522,1.08444275522,1.73056447997,1.73056447997,194.241594406,194.241594406,1.61904761905
85,8155-12701,0.0,0.314804703501,0.314804703501,53.6983077998,53.6983077998,193.506605651,193.506605651,1.17374517375
86,8147-12701,0.0,0.494007863969,0.494007863969,4.37739846988,4.37739846988,200.90297802,200.90297802,1.1210877373
87,8146-12701,0.0,0.156449286239,0.156449286239,3.36444452481,3.36444452481,207.136684757,207.136684757,1.11637931034
88,8728-12701,0.0,0.416069456171,0.416069456171,9.13160334419,9.13160334419,207.386584407,207.386584407,1.12758145939
89,8145-12701,0.0,1.31280795217,1.31280795217,29.6673631454,29.6673631454,207.405531899,207.405531899,1.11188204683
90,8149-12701,0.0,1.28275610548,1.28275610548,9.97691532375,9.97691532375,234.964116765,234.964116765,1.22551928783
91,8713-12701,0.0,0.465033731443,0.465033731443,36.4643205464,36.4643205464,274.513252839,274.513252839,1.26145387905
92,8084-12701,0.0,1.36791063186,1.36791063186,35.9064273179,35.9064273179,206.827035931,206.827035931,1.15306122449
93,8461-12701,0.0,0.891244064542,0.891244064542,13.8821364578,13.8821364578,413.981108496,413.981108496,1.39130434783
94,8721-12701,0.0,0.281899273874,0.281899273874,-29.2307817205,-29.2307817205,353.532307499,353.532307499,1.41836734694
95,8725-12701,0.0,0.76897342885,0.76897342885,64.209099811,64.209099811,206.463740859,206.463740859,1.22485207101
96,10001-12701,0.0,0.798495330849,0.798495330849,6.21446261495,6.21446261495,207.615833688,207.615833688,1.15847860539
97,8456-12701,0.0,0.726211662271,0.726211662271,5.24266564901,5.24266564901,202.1038002,202.1038002,1.1818891491
98,8455-12701,0.0,2.23182335062,2.23182335062,16.4302299009,16.4302299009,209.831395278,209.831395278,1.21255060729
99,8568-12701,0.0,1.68487864158,1.68487864158,-9.650765622,-9.650765622,199.36928501,199.36928501,1.33103448276
100,8462-12701,0.0,1.08776435293,1.08776435293,9.95902213631,9.95902213631,208.799138774,208.799138774,1.20695652174
101,8255-12701,0.0,0.384930483888,0.384930483888,9.96195456189,9.96195456189,229.442277137,229.442277137,1.16058394161
102,8449-12701,0.0,0.40930926216,0.40930926216,-0.224212638587,-0.224212638587,209.425775906,209.425775906,1.185
103,8338-12701,0.0,1.75186034437,1.75186034437,4.40835751997,4.40835751997,204.042165339,204.042165339,1.20218206614
104,8450-12701,0.0,0.541614964355,0.541614964355,-5.32999336175,-5.32999336175,190.942740646,190.942740646,1.19325551232
105,8454-12701,0.0,1.4047447109,1.4047447109,22.8608049613,22.8608049613,214.856230037,214.856230037,1.32722513089
106,8716-12701,0.0,0.74376031026,0.74376031026,-11.92918911,-11.92918911,193.301923823,193.301923823,1.16379310345
107,8717-12701,0.0,0.542460599273,0.542460599273,6.98042800377,6.98042800377,210.746838676,210.746838676,1.16806722689
108,8239-12701,0.0,0.195609092256,0.195609092256,60.2635783258,60.2635783258,337.140575087,337.140575087,1.8
109,8724-12701,0.0,1.05761433966,1.05761433966,-11.0616851405,-11.0616851405,224.419128452,224.419128452,1.19786729858
110,8714-12701,0.0,0.152321566349,0.152321566349,-3.59424915167,-3.59424915167,300.718849847,300.718849847,1.66666666667
111,8241-12701,0.0,0.625776080905,0.625776080905,11.4715352994,11.4715352994,226.701982715,226.701982715,1.19577205882
112,8712-12701,0.0,0.381434254045,0.381434254045,8.51757703444,8.51757703444,218.947051044,218.947051044,1.32561851556
